Interval,Cwnd
0,0
0.05,1598
0.1,2302
0.15,2749
0.2,3197
0.25,3197
0.3,3197
0.35,3197
0.4,3197
0.45,3197
0.5,3197
0.55,3197
0.6,3197
0.65,3197
0.7,3197
0.75,3197
0.8,3197
0.85,3197
0.9,3197
0.95,3197
1,2238
1.05,2302
1.1,2430
1.15,2621
1.2,2749
1.25,2877
1.3,3069
1.35,3133
1.4,3197
1.45,3197
1.5,3197
1.55,3197
1.6,3197
1.65,3197
1.7,3197
1.75,3197
1.8,3197
1.85,3197
1.9,3197
1.95,3197
2,3197
2.05,2302
2.1,2430
2.15,2557
2.2,2685
2.25,2877
2.3,3069
2.35,3133
2.4,3197
2.45,3197
2.5,3197
2.55,3197
2.6,3197
2.65,3197
2.7,3197
2.75,3197
2.8,3197
2.85,3197
2.9,3197
2.95,3197
3,3197
3.05,2302
3.1,2366
3.15,2621
3.2,2749
3.25,2877
3.3,3005
3.35,3133
3.4,3197
3.45,3197
3.5,3197
3.55,3197
3.6,3197
3.65,3197
3.7,3197
3.75,3197
3.8,3197
3.85,3197
3.9,3197
3.95,3197
4,2238
4.05,2302
4.1,2493
4.15,2685
4.2,2749
4.25,2941
4.3,3069
4.35,3133
4.4,3197
4.45,3197
4.5,3197
4.55,3197
4.6,3197
4.65,3197
4.7,3197
4.75,3197
4.8,3197
4.85,3197
4.9,3197
4.95,3197
5,3197
5.05,2302
5.1,2366
5.15,2493
5.2,2749
5.25,2877
5.3,3005
5.35,3133
5.4,3133
5.45,3133
5.5,3197
5.55,3197
5.6,3197
5.65,3197
5.7,3197
5.75,3197
5.8,3197
5.85,3197
5.9,3197
5.95,3197
6,3197
6.05,2302
6.1,2493
6.15,2685
6.2,2749
6.25,2813
6.3,3005
6.35,3133
6.4,3197
6.45,3197
6.5,3197
6.55,3197
6.6,3197
6.65,3197
6.7,3197
6.75,3197
6.8,3197
6.85,3197
6.9,3197
6.95,3197
7,3197
7.05,2302
7.1,2366
7.15,2557
7.2,2685
7.25,2877
7.3,3005
7.35,3069
7.4,3197
7.45,3197
7.5,3197
7.55,3197
7.6,3197
7.65,3197
7.7,3197
7.75,3197
7.8,3197
7.85,3197
7.9,3197
7.95,3197
8,3197
8.05,2302
8.1,2366
8.15,2493
8.2,2621
8.25,2749
8.3,3005
8.35,3133
8.4,3133
8.45,3197
8.5,3197
8.55,3197
8.6,3197
8.65,3197
8.7,3197
8.75,3197
8.8,3197
8.85,3197
8.9,3197
8.95,3197
9,3197
9.05,2302
9.1,2430
9.15,2557
9.2,2685
9.25,2813
9.3,3005
9.35,3133
9.4,3197
9.45,3197
9.5,3197
9.55,3197
9.6,3197
9.65,3197
9.7,3197
9.75,3197
9.8,3197
9.85,3197
9.9,3197
9.95,3197
