Time,Cwnd,Cwnd
0,213,213
50,213,213
100,213,213
150,213,213
200,213,213
250,703,213
300,703,213
350,703,213
400,703,213
450,1342,703
500,1342,703
550,1342,703
600,1342,703
650,2366,703
700,2366,703
750,2366,703
800,2366,703
850,4732,1406
900,4732,1406
950,4732,1406
1000,4733,1406
1050,9464,1406
1100,,1406
1150,,1406
1200,,1406
1250,,2557
1300,,2557
1350,,2557
1400,,2557
1450,,2557
1500,,2557
1550,,2557
1600,,2557
1650,,4924
1700,,4924
1750,,4924
1800,,4924
1850,,4924
1900,,4924
1950,,4924
2000,,4925
2050,,9400
