Interval,Cwnd
0,26
0.05,33
0.1,41
0.15,46
0.2,52
0.25,59
0.3,65
0.35,70
0.4,77
0.45,83
0.5,89
0.55,94
0.6,101
0.65,107
0.7,110
0.75,115
0.8,121
0.85,127
0.9,134
0.95,139
1,145
1.05,151
1.1,155
1.15,161
1.2,165
1.25,171
1.3,175
1.35,182
1.4,185
1.45,190
1.5,195
1.55,200
1.6,206
1.65,209
1.7,214
1.75,219
1.8,223
1.85,226
1.9,231
1.95,236
2,241
2.05,243
2.1,248
2.15,254
2.2,257
2.25,261
2.3,267
2.35,268
2.4,274
2.45,278
2.5,281
2.55,285
2.6,289
2.65,144
2.7,144
2.75,144
2.8,144
2.85,144
2.9,59
2.95,145
3,79
3.05,79
3.1,79
3.15,79
3.2,79
3.25,29
3.3,77
3.35,84
3.4,87
3.45,42
3.5,42
3.55,42
3.6,42
3.65,1
3.7,43
3.75,49
3.8,57
3.85,60
3.9,67
3.95,73
4,36
4.05,19
4.1,25
4.15,29
4.2,36
4.25,21
4.3,24
4.35,32
4.4,19
4.45,22
4.5,28
4.55,36
4.6,39
4.65,24
4.7,32
4.75,35
4.8,21
4.85,28
4.9,32
4.95,18
5,25
5.05,28
5.1,36
5.15,19
5.2,24
5.25,28
5.3,35
5.35,38
5.4,43
5.45,11
5.5,15
5.55,21
5.6,28
5.65,32
5.7,39
5.75,48
5.8,49
5.85,28
5.9,35
5.95,11
6,21
6.05,29
6.1,32
6.15,39
6.2,18
6.25,22
6.3,29
6.35,36
6.4,18
6.45,26
6.5,33
6.55,38
6.6,21
6.65,28
6.7,32
6.75,18
6.8,25
6.85,28
6.9,36
6.95,21
7,24
7.05,31
7.1,33
7.15,19
7.2,28
7.25,33
7.3,38
7.35,24
7.4,31
7.45,35
7.5,18
7.55,25
7.6,29
7.65,36
7.7,42
7.75,21
7.8,28
7.85,35
7.9,38
7.95,22
8,29
8.05,33
8.1,18
8.15,24
8.2,28
8.25,35
8.3,19
8.35,24
8.4,31
8.45,38
8.5,18
8.55,26
8.6,33
8.65,36
8.7,21
8.75,12
8.8,16
8.85,24
8.9,31
8.95,33
9,41
9.05,49
9.1,50
9.15,14
9.2,21
9.25,24
9.3,32
9.35,39
9.4,42
9.45,22
9.5,29
9.55,33
9.6,18
9.65,25
9.7,28
9.75,35
9.8,43
9.85,5
9.9,24
