Latency value (ms),Error(Static),Error(Dynamic)
1,89.7777777777777,33.7777777777778
11,15.8181818181818,6
21,4.57142857142856,1.66666666666669
31,2.2258064516129,2.51612903225808
41,2.87804878048779,1.02439024390245
51,1.70588235294117,1.01960784313727
61,2.19672131147544,1.81967213114753
71,1.26760563380282,0.478873239436623
81,2.00000000000003,0.481481481481481
91,1.83516483516486,0.593406593406584
101,0.594059405940598,0.495049504950501
111,0.180180180180173,0.180180180180173
121,0.743801652892557,0.082644628099175
131,0.381679389312978,0.381679389312978
141,0.070921985815602,0.070921985815602
151,0.33112582781456,0
161,0.310559006211179,0.434782608695656
171,0.409356725146196,0.05847953216373
181,0.276243093922645,0.055248618784518
191,0.314136125654457,0.157068062827221
201,0,0.348258706467661
,,
211,0.094786729857816,0.379146919431278
221,0.226244343891409,0.090497737556561
231,0.562770562770567,0
241,0.184416781927155,0.041493775933617
251,0.044267374944667,0
261,0.085142613878247,0.421455938697335
271,0.369003690036891,0.073800738007378
281,0.284697508896798,0.2491103202847
291,0.343642611683848,0.2405498281787
301,0.099667774086385,0.033222591362133
311,0.353697749196158,0.032154340836016
321,0.155763239875384,0.124610591900293
331,0.167841557569659,0.211480362537756
341,0.32258064516131,0.029325513196497
351,0.284900284900289,0.17094017094017
361,0.08310249307479,0.11080332409972
371,0.269541778975736,0.107816711590274
381,0.314960629921245,0
391,0.102301790281317,0.025575447570333
401,0.124688279301751,0.049875311720697
411,0.389294403892947,0.072992700729941
421,0.451306413301666,0.118764845605696
431,0.25522041763341,0.185614849187928
441,0.27210884353741,0.27210884353741
451,0.295639320029565,0.066518847006663
461,0.216919739696308,0.108459869848161
471,0.297239915074314,0.021231422505323
481,0.249480249480243,0.041580041580033
491,0.285132382892044,0.06109979633402
501,0.288312264360172,0.119760479041915
511,0.293542074363984,0.019569471624266
521,0.172744721689043,0.038387715930924
531,0.225988700564983,0.07532956685499
541,0.184842883548981,0.036968576709811
551,0.217785843920154,0.036297640653359
561,0.158447217270748,0.142602495543656
571,0.155672309787903,0.1751313485114
581,0.395869191049897,0.120481927710856
591,0.287648054145521,0.050761421319791
601,0.249584026622301,0.149750415973386
611,0.181851245681017,0.081833060556463
621,0.161030595813202,0.064412238325275
631,0.237717908082402,0.031695721077668
641,0.20280811232449,0.04680187207488
651,0.168970814132123,0.030721966205832
661,0.151285930408477,0.105900151285937
671,0.149031296572289,0.104321907600607
681,0.220264317180607,0.044052863436122
691,0.202604920405207,0.101302460202618
701,0.356633380884446,0.042796005706137
711,0.309423347398024,0.168776371308027
721,0.138696255201111,0.097087378640779
731,0.136798905608757,0.095759233926131
741,0.134952766531711,0.121457489878523
751,0.133155792276966,0.079893475366191
761,0.131406044678045,0.131406044678045
771,0.194552529182886,0.181582360570687
781,0.166453265044808,0.128040973111382
791,0.176991150442476,0.126422250316054
801,0.149812734082417,0.137328339575532
811,0.197287299630091,0.184956843403199
821,0.182704019488426,0.182704019488426
831,0.120336943441643,0.120336943441643
841,0.118906064209284,0.249702734839488
851,0.117508813160995,0.117508813160995
861,0.162601626016269,0.127758420441353
871,0.183696900114811,0.183696900114811
881,0.113507377979573,0.181611804767328
891,0.112233445566787,0.112233445566787
901,0.133185349611551,0.133185349611551
911,0.131723380900112,0.175631174533478
921,0.108577633007599,0.119435396308361
931,0.12889366272826,0.107411385606881
941,0.159404888416574,0.180658873538803
951,0.220820189274448,0.199789695057831
961,0.135275754422466,0.166493236212276
971,0.154479917610701,0.144181256436667
981,0.101936799184514,0.163098878695209
991,0.110998990918262,0.211907164480323
